X,Y
-256.5797,-0.05804227
-256.5722,-0.05822198
-256.5717,-0.05827692
-256.571,-0.05820228
-256.5697,-0.05830503
-256.5664,-0.05831567
-256.5658,-0.05818221
-256.5641,-0.05790039
-256.5621,-0.05798984
-256.5575,-0.05819931
-256.5557,-0.05830531
-256.554,-0.05791928
-256.5512,-0.05806469
-256.5487,-0.05797329
-256.5425,-0.05794613
-256.5401,-0.05797271
-256.5385,-0.05823839
-256.53,-0.05797705
-256.5281,-0.05792014
-256.5273,-0.05820046
-256.5233,-0.0579573
-256.521,-0.05801348
-256.5163,-0.05786828
-256.5146,-0.05805897
-256.5141,-0.05815897
-256.512,-0.05791707
-256.5115,-0.05805597
-256.4987,-0.05784964
-256.4923,-0.05806006
-256.4895,-0.05799437
-256.4836,-0.05793219
-256.4814,-0.05812303
-256.4718,-0.05797602
-256.4616,-0.05812931
-256.4592,-0.05793865
-256.4502,-0.05806611
-256.4483,-0.05789339
-256.4394,-0.05795409
-256.4385,-0.05792294
-256.4373,-0.05797883
-256.4343,-0.05799205
-256.434,-0.0579906
-256.4328,-0.0579371
-256.4277,-0.0579246
-256.4147,-0.05818827
-256.4086,-0.05794721
-256.406,-0.0579599
-256.4052,-0.05799614
-256.4049,-0.05808373
-256.3926,-0.05804164
-256.3872,-0.05822487
-256.3816,-0.05793285
-256.3781,-0.05794211
-256.3729,-0.05790662
-256.367,-0.05791552
-256.3634,-0.05787688
-256.3564,-0.05826782
-256.3494,-0.05801707
-256.347,-0.05792174
-256.3466,-0.05800679
-256.3368,-0.05796231
-256.3343,-0.05800725
-256.3315,-0.05801509
-256.3246,-0.05802286
-256.3225,-0.05794735
-256.315,-0.05811512
-256.3136,-0.05798687
-256.305,-0.05804046
-256.3014,-0.05790361
-256.2982,-0.05798291
-256.2863,-0.05789224
-256.2845,-0.05832439
-256.2689,-0.05796841
-256.2685,-0.05798285
-256.2654,-0.05802834
-256.2646,-0.0579289
-256.2605,-0.05797852
-256.2581,-0.05797406
-256.258,-0.0579691
-256.25275,-0.057888715
-256.2434,-0.05804302
-256.2433,-0.05832753
-256.2248,-0.05801254
-256.2242,-0.05787065
-256.2235,-0.0581439
-256.2144,-0.05805738
-256.2061,-0.05791384
-256.2042,-0.05794702
-256.1996,-0.0579768
-256.1967,-0.05798706
-256.1955,-0.0580476
-256.1935,-0.05786495
-256.1876,-0.0579684
-256.1815,-0.05802818
-256.1693,-0.05804614
-256.168,-0.05792711
-256.164,-0.0579022
-256.1622,-0.05785488
-256.1477,-0.05829457
-256.1467,-0.05790469
-256.1405,-0.05791214
-256.1344,-0.05799003
-256.1323,-0.05794848
-256.1312,-0.05798009
-256.1305,-0.05816397
-256.1283,-0.05788868
-256.1244,-0.05803021
-256.1017,-0.05799651
-256.1012,-0.05810397
-256.1011,-0.05795602
-256.0996,-0.05784787
-256.0956,-0.05796494
-256.093,-0.05826115
-256.0857,-0.05790244
-256.0805,-0.0579886
-256.0748,-0.05793158
-256.0629,-0.05798327
-256.0622,-0.05786343
-256.0582,-0.0580579
-256.0517,-0.05804433
-256.0392,-0.0579958
-256.0363,-0.05784998
-256.0352,-0.05799822
-256.0338,-0.05821624
-256.027,-0.05803917
-256.0186,-0.0579121
-256.0107,-0.05788634
-256.01,-0.05796063
-256.0046,-0.05784648
-255.9895,-0.05801328
-255.9892,-0.05798687
-255.9883,-0.05805348
-255.9761,-0.05799614
-255.9634,-0.05790288
-255.9553,-0.05811312
-255.9544,-0.05807054
-255.9468,-0.05793396
-255.9437,-0.05789869
-255.943,-0.05797164
-255.9394,-0.05816915
-255.926,-0.05790275
-255.9202,-0.05803616
-255.9186,-0.05797418
-255.9117,-0.05799613
-255.9098,-0.05786791
-255.9035,-0.0579034
-255.9006,-0.05815075
-255.9003,-0.05790698
-255.8958,-0.05806248
-255.8825,-0.05816159
-255.8821,-0.05790666
-255.879,-0.05802106
-255.8581,-0.05799363
-255.8556,-0.05796001
-255.8514,-0.0579474
-255.8472,-0.05799001
-255.845,-0.05790902
-255.8423,-0.05815212
-255.8261,-0.05814837
-255.8104,-0.05795988
-255.8088,-0.05817543
-255.8082,-0.05804856
-255.8073,-0.05791094
-255.8068,-0.0579411
-255.8049,-0.05795966
-255.7889,-0.05799719
-255.7852,-0.05792012
-255.7851,-0.05787639
-255.7808,-0.05788963
-255.774,-0.05790944
-255.7572,-0.05808571
-255.7543,-0.05786689
-255.7296,-0.05790344
-255.7159,-0.0579001
-255.7156,-0.05796733
-255.7151,-0.05805663
-255.714,-0.05808944
-255.7132,-0.05795823
-255.6893,-0.05786908
-255.6874,-0.05807495
-255.6714,-0.05803931
-255.6678,-0.05796466
-255.6661,-0.057935
-255.6634,-0.05820405
-255.6586,-0.05810739
-255.6519,-0.05786061
-255.6508,-0.05790908
-255.6492,-0.0579513
-255.6472,-0.05781715
